Bean Name,Bean Value
Guatemala,1284.57
Guatemala,1428.074
Guatemala,1291.832
Guatemala,1347.334
Guatemala,1419.73
Guatemala,1333.14
Guatemala,1478.964
Guatemala,3126.538
Guatemala,3089.748
Guatemala,3142.626
Guatemala,3074.77
Guatemala,3080.364
Guatemala,3050.388
Guatemala,3041.896
Guatemala,3083.908
Guatemala,3080.15
Guatemala,3104.044
Guatemala,4355.782
Guatemala,4260.736
Guatemala,4264.164
Guatemala,4273.836
Guatemala,4224.478
Guatemala,4208.812
Guatemala,4216.34
Guatemala,4218.354
Guatemala,4194.232
Guatemala,4210.746
Guatemala,465.524
Guatemala,648.52
Guatemala,598.858
Guatemala,542.518
Guatemala,475.728
Guatemala,525.5
Guatemala,469.934
Guatemala,662.416
Guatemala,742.604
Guatemala,424.366
Guatemala,1218.134
Guatemala,1184.65
Guatemala,1204.124
Guatemala,1238.82
Guatemala,1254.156
Guatemala,1216.74
Guatemala,1284.976
Guatemala,1229.196
Guatemala,1246.694
Guatemala,1274.608
Guatemala,2528.332
Guatemala,2498.2
Guatemala,2491.6
Guatemala,2482.434
Guatemala,2525.946
Guatemala,2447.706
Guatemala,2470.624
Guatemala,2466.692
Guatemala,2497.438
Guatemala,2479.276
Guatemala,863.028
Guatemala,756.934
Guatemala,802.342
Guatemala,808.266
Guatemala,801.764
Guatemala,770.978
Guatemala,781.624
Guatemala,793.66
Guatemala,786.656
Guatemala,806.966
Guatemala,7100.544
Guatemala,7030.962
Guatemala,7076.772
Guatemala,6983.224
Guatemala,6994.022
Guatemala,6896.99
Guatemala,6816.22
Guatemala,6876.418
Guatemala,6663.664
Guatemala,6751.998
Guatemala,1159.716
Guatemala,1135.034
Guatemala,1123.262
Guatemala,1149.714
Guatemala,1122.756
Guatemala,1138.028
Guatemala,1141.972
Guatemala,1131.576
Guatemala,1121.5
Guatemala,1146.454
Guatemala,3223.004
Guatemala,3162.294
Guatemala,3091.43
Guatemala,3087.48
Guatemala,3090.852
Guatemala,3078.518
Guatemala,3122.412
Guatemala,3119.834
Guatemala,3077.896
Guatemala,3082.01
